Hero Name,Role,Win Rate (%),Popularity (%),Ban Rate (%),Scaling Rating,Recommended Lane,Second Lane,Cooldown Rating,Item Dependency Rating,Mobility Rating,Crowd Control Rating,Base Stats Growth Rating,Ultimate Impact Rating_All Game Phases,Ultimate Impact Rating_Early Game,Ultimate Impact Rating_Late Game,Ultimate Impact Rating_Mid Game,Ultimate Impact Rating_Support,Strength Rating (%)
Lesley,Marksman/Assassin,41.59,0.34,0.06,1,1,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,48.88
Lapu-Lapu,Fighter,46.11,0.2,0.01,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,48.83
Aulus,Fighter,49.74,0.06,0.03,1,2,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,48.52
Silvanna,Fighter,47.03,0.14,0.02,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,48.51
Roger,Fighter/Marksman,44.89,0.19,0.03,1,2,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,48.37
Thamuz,Fighter,45.57,0.17,0.02,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,48.37
Grock,Tank/Fighter,46.42,0.09,0.02,1,4,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,47.83
Esmeralda,Mage/Tank,42.11,0.21,0.04,1,0,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,47.74
Balmond,Fighter,40.53,0.25,0.16,1,2,4,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,47.67
Layla,Marksman,48.9,0.83,0.64,0,1,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,46.03
Fanny,Assassin,46.55,1.12,78.34,0,2,4,0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,46.0
Belerick,Tank,47.98,0.8,0.62,1,4,4,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,45.46
Melissa,Marksman,53.4,0.62,1.46,0,1,4,1,0,1,1,1,0.0,0.0,1.0,0.0,0.0,45.37
Benedetta,Assassin/Fighter,49.1,0.69,0.15,1,0,4,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,44.65
Kagura,Mage,48.89,0.69,0.08,1,3,4,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,44.57
Lunox,Mage,50.16,0.65,0.09,1,3,4,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,44.56
Khufra,Tank,50.18,0.62,0.28,1,4,4,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,44.28
